,dimension_b,dimension_c,dimension_a,time,Var138281,Var143987,Var132816,Var139539,Var143988,Var143989,Var127195,Var-1,MeanCenter,Weights,Var0,SplitGroup0,SplitGroup138281,Var138281_original,Var0_original
140,12771,24922,5077,141,0.0,0.0,0.0,0.0,0.0,0.0,0.208765473402,1,76.641025641,16.0,1,566375.0,566367.0,0.0,1
141,12771,24922,5077,142,0.0,0.0,106.0,0.0,0.0,0.0,1.22649715624,1,76.641025641,94.0,1,566375.0,566367.0,0.0,1
142,12771,24922,5077,143,0.0,0.0,90.0,0.0,0.0,0.0,1.93108062897,1,76.641025641,148.0,1,566375.0,566367.0,0.0,1
143,12771,24922,5077,144,0.0,0.0,9197732.0,0.0,0.0,0.0,2.04851120776,1,76.641025641,157.0,1,566375.0,566367.0,0.0,1
144,12771,24922,5077,145,0.0,309.0,19433355.0,0.0,0.0,0.0,7.68517898963,1,76.641025641,589.0,1,566375.0,566367.0,0.0,1
145,12771,24922,5077,146,0.0,363.0,26749472.0,0.0,0.0,0.0,10.4121779859,1,76.641025641,798.0,1,566375.0,566367.0,0.0,1
146,12771,24922,5077,147,0.0,0.0,24596186.0,0.0,0.0,0.0,7.69822683172,1,76.641025641,590.0,1,566375.0,566367.0,0.0,1
147,12771,24922,5077,148,0.0,0.0,16392691.0,0.0,0.0,0.0,4.13616594179,1,76.641025641,317.0,1,566375.0,566367.0,0.0,1
148,12771,24922,5077,149,0.0,799.0,16434178.0,0.0,0.0,0.0,12.3824021412,1,76.641025641,949.0,1,566375.0,566367.0,0.0,1
149,12771,24922,5077,150,0.0,669.0,15156489.0,0.0,0.0,0.0,14.6657745065,1,76.641025641,1124.0,1,566375.0,566367.0,0.0,1
150,12771,24922,5077,151,0.0,1419.0,15194869.0,0.0,0.0,0.0,24.3733690197,1,76.641025641,1868.0,1,566375.0,566367.0,0.0,1
151,12771,24922,5077,152,0.0,0.0,19380508.0,0.0,0.0,0.0,30.6363332218,1,76.641025641,2348.0,1,566375.0,566367.0,0.0,1
152,12771,24922,5077,153,0.0,372.0,19710018.0,0.0,0.0,0.0,9.45968551355,1,76.641025641,725.0,1,566375.0,566367.0,0.0,1
153,12771,24922,5077,154,0.0,422.0,18555336.0,0.0,0.0,0.0,11.2341920375,1,76.641025641,861.0,1,566375.0,566367.0,0.0,1
154,12771,24922,5077,155,0.0,515.0,11935005.0,0.0,0.0,0.0,14.1308129809,1,76.641025641,1083.0,1,566375.0,566367.0,0.0,1
155,12771,24922,5077,156,0.0,0.0,0.0,0.0,0.0,0.0,3.77082636333,1,76.641025641,289.0,1,566375.0,566367.0,0.0,1
299,12771,25006,5077,144,0.0,0.0,0.0,0.0,0.0,0.0,4.58823529412,1,-0.217948717949,-1.0,1,566374.0,566296.0,0.0,1
301,12771,25006,5077,146,0.0,0.0,0.0,0.0,0.0,0.0,4.58823529412,1,-0.217948717949,-1.0,1,566374.0,566296.0,0.0,1
303,12771,25006,5077,148,0.0,0.0,0.0,0.0,0.0,0.0,4.58823529412,1,-0.217948717949,-1.0,1,566374.0,566296.0,0.0,1
304,12771,25006,5077,149,0.0,-1.0,0.0,0.0,0.0,0.0,4.58823529412,1,-0.217948717949,-1.0,1,566374.0,566296.0,0.0,1
306,12771,25006,5077,151,0.0,-1.0,0.0,0.0,0.0,0.0,9.17647058824,1,-0.217948717949,-2.0,1,566374.0,566296.0,0.0,1
307,12771,25006,5077,152,0.0,0.0,0.0,0.0,0.0,0.0,13.7647058824,1,-0.217948717949,-3.0,1,566374.0,566296.0,0.0,1
308,12771,25006,5077,153,0.0,-10.0,0.0,0.0,0.0,0.0,50.4705882353,1,-0.217948717949,-11.0,1,566374.0,566296.0,0.0,1
309,12771,25006,5077,154,0.0,-1.0,0.0,0.0,0.0,0.0,9.17647058824,1,-0.217948717949,-2.0,1,566374.0,566296.0,0.0,1
310,12771,25006,5077,155,0.0,-5.0,0.0,0.0,0.0,0.0,36.7058823529,1,-0.217948717949,-8.0,1,566374.0,566296.0,0.0,1
311,12771,25006,5077,156,0.0,0.0,0.0,0.0,0.0,0.0,18.3529411765,1,-0.217948717949,-4.0,1,566374.0,566296.0,0.0,1
404,12772,25006,5077,93,0.0,0.0,0.0,0.0,0.0,0.0,0.0200617283951,1,99.6923076923,2.0,1,566368.0,566296.0,0.0,1
405,12772,25006,5077,94,0.0,0.0,0.0,0.0,0.0,0.0,0.0902777777778,1,99.6923076923,9.0,1,566368.0,566296.0,0.0,1
406,12772,25006,5077,95,0.0,0.0,0.0,0.0,0.0,0.0,0.12037037037,1,99.6923076923,12.0,1,566368.0,566296.0,0.0,1
407,12772,25006,5077,96,0.0,0.0,0.0,0.0,0.0,0.0,0.220679012346,1,99.6923076923,22.0,1,566368.0,566296.0,0.0,1
408,12772,25006,5077,97,0.0,0.0,0.0,0.0,0.0,0.0,0.190586419753,1,99.6923076923,19.0,1,566368.0,566296.0,0.0,1
409,12772,25006,5077,98,0.0,0.0,0.0,0.0,0.0,0.0,0.12037037037,1,99.6923076923,12.0,1,566368.0,566296.0,0.0,1
410,12772,25006,5077,99,0.0,0.0,0.0,0.0,0.0,0.0,0.481481481481,1,99.6923076923,48.0,1,566368.0,566296.0,0.0,1
